販売日（だいたい）,名前,販売元（敬称略）,URL,キャラ,ポリゴン（約）,等身・体格（推測）,胸囲（推測）,けもみみ,しっぽ,角,羽,エルフ耳,ヘイロー
2019/1/28,スノウエルフのお嬢様,FRIENDLY PLANET,https://booth.pm/ja/items/1202638,少女,,小,小,,,,,o,
2020/06/16,リア-アリス,ぷらすわん,https://booth.pm/ja/items/2146588,少女,55766,小,小,,,,,,
2021/6/12,イメリス,STUDIO JINGO,https://booth.pm/ja/items/3040745,少女,67039,大,大,o,o,o,,,
2019/09/21,Noy,Ficsnade,https://booth.pm/ja/items/1572406,少女,,小,小,o,o,,,,
2021/03/05,センティッド,紅茶のお店,https://booth.pm/ja/items/2789739,少女,74901,大,大,o,o,,,,
2020/12/09,サタリナ族のメイドさん,FRIENDLY PLANET,https://booth.pm/ja/items/2589069,少女,40885,中,大,,,o,o,o,
2022/10/29,New NecoMaid,QuQu,https://booth.pm/ja/items/4252664,少女,63000,中,中,,,,,,
2022/05/08,いぬいぬ,zuchicorn shop,https://booth.pm/ja/items/3853613,ケモノ,13000,小,小,o,o,,,,
2021/05/27,セフィラ,ぷらすわん,https://booth.pm/ja/items/2953001,少女,63730,中,小,o,o,,,,
2021/8/18,杏里,mio3io,https://booth.pm/ja/items/3203894,少年,50000,大,小,,,,,,
2022/12/3,ユギ,Saki#,https://booth.pm/ja/items/4358508,少女,"96,898",小,中,o,o,,,,
2022/12/3,ミヨ,Saki#,https://booth.pm/ja/items/4358508,少女,"96,898",小,中,o,o,,,,
2021/7/30,ギモザード,Yorshka Shop,https://booth.pm/ja/items/3152272,少女,67706,中,大,,,,,,
2023/10/07,びしょぬれのしずくさん,KUROMARU9,https://booth.pm/ja/items/3828632,少女,65000,中,小,,,,,,o
2022/11/25,INABA,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,大,o,o,,,,
2022/11/25,椎名,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,中,o,o,,,,
2022/11/25,狐雨,ゴールデン商会,https://booth.pm/ja/items/4213786,少女,,中,大,o,o,,,,
2023/02/01,めいゆん,にげるな屋,https://booth.pm/ja/items/4431242,少女,142372,中,小,o,o,,,,
2024/04/12,しお,Chocolate rice,https://booth.pm/ja/items/5650156,少女,123140,中,中,o,o,,,,
2018/12/8,メディカルセンタースタッフさん,FRIENDLY PLANE,https://booth.pm/ja/items/1130532,少女,,小,中,,,,,,
2023/12/08,狛乃,ひゅうがなつみかん,https://booth.pm/ja/items/5260363,少年,110577,大,中,o,o,,,,
2021/5/8,ミルク Re,あまとうさぎ,https://booth.pm/ja/items/2953391,少女,45216,小,小,o,o,,,,
2022/05/26,シエル,ArmoireLepus -アルモワール レプス-,https://booth.pm/ja/items/3368697,少女,77654,中,中,o,o,,,,
2023/08/19,ルゼブル,追憶の書架,https://booth.pm/ja/items/4887691,少女,126810,中,中,,,,,,
2021/10/08,くろなつ,なんか作ろうよ,https://booth.pm/ja/items/3329958,少女,38947,中,中,,,o,,,
2022/08/17,華夜,SASA-Cafe,https://booth.pm/ja/items/3480756,少女,73000,中,中,,,,,,
2021/12/5,Adolescent U,QuQu,https://booth.pm/ja/items/3284430,少女,31000,中,中,,,,,,
2021/1/1,狐薄,なっふな堂,https://booth.pm/ja/items/2616595,少女,52167,中,中,o,o,,,,
2020/08/24,沙猫,ひゅうがなつみかん,https://booth.pm/ja/items/2322146,少女,54396,中,中,o,o,,,,
2022/10/15,Emmelie3D,emudotto.avatar,https://booth.pm/ja/items/4052120,少女,176652,中,小,o,o,,,,
2022/2/19,九条フレカ,RiBLA Laboratory売店,https://booth.pm/ja/items/3644446,少女,41016,中,中,,,,,,
2022/12/17,リルモワ,もにゅめんつ.MONUMENTS,https://booth.pm/ja/items/4296377,少女,70956,中,大,,,,o,,o
2022/8/11,うるる,なっふな堂,https://booth.pm/ja/items/4049292,少女,91000,中,中,o,,o,,,
2020/7/7,アル,星ワタリノ空,https://booth.pm/ja/items/2174830,少年,,大,小,,,,,,
2020/05/25,レナ・カクテル,ストレイ・ラム,https://booth.pm/ja/items/2097499,少女,60529,中,中,,,o,,o,
2022/05/20,ましゅ,Sisters!,https://booth.pm/ja/items/3878174,ちびキャラ,28502,小,小,o,o,,,,
2020/12/22,ハムちゃん,Mech,https://booth.pm/ja/items/2621226,ケモノ,,小,小,o,o,,,,
2021/09/25,ミュリシア,もにゅめんつ.MONUMENTS,https://booth.pm/ja/items/3302156,少女,59555,中,中,o,o,,,,
2023/12/31,フェリス,リュクらぼ,https://booth.pm/ja/items/5385176,少女,55043,中,小,o,o,,,,
2023/11/3,イリス,namekuji1337,https://booth.pm/ja/items/5209634,少女,92569,中,小,,o,o,o,o,
2023/12/20,凪,rio3d,https://booth.pm/ja/items/5345398,少女,97000,中,中,,,,,,
2020/07/25,ユキちゃん,Honeycrisp,https://booth.pm/ja/items/2198694,少女,42949,中,中,o,o,,,,
2023/12/22,凪夜 瑠璃,STUDIO MOCA,https://booth.pm/ja/items/5351494,少女,66643,中,中,,,,,,
2020/9/18,猫山苗,ツクルノモリ公式,https://booth.pm/ja/items/2381911,少女,31745,中,小,o,o,,,,
2021/12/4,双迦,studio nanodes,https://booth.pm/ja/items/3458154,少女,,中,小,,,,,,
